date,Open,High,Low,Close,Pair,Weekly_Return
2025-02-07,1.66377,1.67919,1.64555,1.64653,EUR/AUD,-1.1977269590576545
2025-02-14,1.64764,1.66351,1.63925,1.65192,EUR/AUD,0.3273551043710077
2025-02-21,1.65177,1.65252,1.63573,1.64538,EUR/AUD,-0.39590294929536807
2025-02-28,1.64529,1.67739,1.64292,1.67061,EUR/AUD,1.5333843853699403
2025-03-07,1.67352,1.72752,1.67176,1.71821,EUR/AUD,2.849258654024589
2025-03-14,1.71911,1.74194,1.71038,1.72018,EUR/AUD,0.11465420408447446
2025-03-21,1.72034,1.7273,1.70852,1.72466,EUR/AUD,0.2604378611540614
2025-03-28,1.72381,1.72531,1.70495,1.72239,EUR/AUD,-0.13162014541996392
2025-04-04,1.74661,1.82771,1.74468,1.81407,EUR/AUD,5.3228362914322425
2024-04-05,0.97355,0.98486,0.97129,0.97781,EUR/CHF,
2024-04-12,0.97653,0.98358,0.96778,0.97309,EUR/CHF,-0.4827113651936443
2024-04-19,0.9702,0.97404,0.95649,0.97001,EUR/CHF,-0.3165174855357611
2024-04-26,0.97008,0.97995,0.96902,0.97795,EUR/CHF,0.8185482623890517
2024-05-03,0.97731,0.98371,0.97297,0.97403,EUR/CHF,-0.4008384886752925
2024-05-10,0.97385,0.978,0.97372,0.97625,EUR/CHF,0.2279190579345558
2024-05-17,0.97638,0.98832,0.97545,0.98826,EUR/CHF,1.2302176696542988
2024-05-24,0.98781,0.99292,0.98669,0.99213,EUR/CHF,0.3915973529233119
2024-05-31,0.99223,0.993,0.97704,0.97901,EUR/CHF,-1.322407345811527
2024-06-07,0.98004,0.98021,0.96696,0.96854,EUR/CHF,-1.0694477073778685
2024-06-14,0.96649,0.96849,0.95094,0.9531,EUR/CHF,-1.5941520226320005
2024-06-21,0.95353,0.95731,0.94782,0.95622,EUR/CHF,0.3273528485993049
2024-06-28,0.9556,0.96396,0.95493,0.96282,EUR/CHF,0.6902177323210301
2024-07-05,0.96465,0.97556,0.9638,0.971,EUR/CHF,0.8495876695540083
2024-07-12,0.96844,0.97594,0.96783,0.97547,EUR/CHF,0.460350154479916
2024-07-19,0.97403,0.97737,0.96428,0.96731,EUR/CHF,-0.836519831465854
2024-07-26,0.96776,0.96918,0.95211,0.95948,EUR/CHF,-0.8094612895555686
2024-08-02,0.9594,0.96062,0.9354,0.93618,EUR/CHF,-2.4283987159711473
2024-08-09,0.93771,0.94758,0.92106,0.94449,EUR/CHF,0.8876498109337883
2024-08-16,0.94411,0.95814,0.94338,0.95518,EUR/CHF,1.131827758896331
2024-08-23,0.9552,0.95787,0.94573,0.94887,EUR/CHF,-0.6606084717016736
2024-08-30,0.94856,0.94935,0.9353,0.93912,EUR/CHF,-1.027538018906704
2024-09-06,0.939,0.94456,0.93378,0.93486,EUR/CHF,-0.453616151290559
2024-09-13,0.93485,0.94335,0.93072,0.94028,EUR/CHF,0.5797659542605249
2024-09-20,0.93898,0.95038,0.93816,0.94923,EUR/CHF,0.9518441315352844
2024-09-27,0.94878,0.95085,0.93777,0.93782,EUR/CHF,-1.2020269060185607
2024-10-04,0.93876,0.94507,0.93336,0.94186,EUR/CHF,0.4307862916124616
2024-10-11,0.94184,0.94295,0.93451,0.93749,EUR/CHF,-0.4639755377656929
2024-10-18,0.93721,0.94276,0.93538,0.93983,EUR/CHF,0.24960266242839424
2024-10-25,0.93984,0.94029,0.93325,0.93562,EUR/CHF,-0.4479533532660174
2024-11-01,0.93717,0.94468,0.93491,0.94342,EUR/CHF,0.8336717898292045
2024-11-08,0.94383,0.94428,0.9355,0.93863,EUR/CHF,-0.507727205274433
2024-11-15,0.93875,0.94011,0.93391,0.9352,EUR/CHF,-0.3654262062793623
2024-11-22,0.93507,0.93708,0.92054,0.9315,EUR/CHF,-0.39563729683490534
2024-11-29,0.93388,0.9345,0.92699,0.93203,EUR/CHF,0.05689747718733429
2024-12-06,0.93109,0.93274,0.92586,0.92856,EUR/CHF,-0.3723056124802837
2024-12-13,0.92813,0.93873,0.92555,0.93763,EUR/CHF,0.9767812526923381
2024-12-20,0.93774,0.94186,0.92857,0.93072,EUR/CHF,-0.7369644742595716
2024-12-27,0.93088,0.94103,0.93041,0.94059,EUR/CHF,1.0604693140794375
2025-01-03,0.94016,0.94418,0.933,0.93656,EUR/CHF,-0.4284544806982926
2025-01-10,0.93699,0.94408,0.93621,0.93888,EUR/CHF,0.2477150422824037
2025-01-17,0.93907,0.94168,0.93371,0.94001,EUR/CHF,0.12035616905248236
2025-01-24,0.94018,0.95183,0.93928,0.95102,EUR/CHF,1.171264135487915
2025-01-31,0.95041,0.95049,0.94224,0.94434,EUR/CHF,-0.7024037349372292
2025-02-07,0.938,0.94301,0.93608,0.93986,EUR/CHF,-0.4744054048330004
2025-02-14,0.93691,0.95139,0.93674,0.94393,EUR/CHF,0.4330432192028555
2025-02-21,0.9431,0.94555,0.938,0.93929,EUR/CHF,-0.4915618742915351
2025-02-28,0.93993,0.94287,0.93323,0.93714,EUR/CHF,-0.22889629400930644
2025-03-07,0.93924,0.96367,0.93458,0.95353,EUR/CHF,1.7489382589580993
2025-03-14,0.95436,0.9663,0.94906,0.96311,EUR/CHF,1.00468784411607
2025-03-21,0.96317,0.96378,0.95302,0.95499,EUR/CHF,-0.8431020340355699
2025-03-28,0.95499,0.9578,0.94898,0.95398,EUR/CHF,-0.1057602697410398
2025-04-04,0.94956,0.94959,0.93651,0.94323,EUR/CHF,-1.1268580054089261
2024-04-05,1.46102,1.47427,1.45463,1.47267,EUR/CAD,
2024-04-12,1.47296,1.47643,1.46182,1.46544,EUR/CAD,-0.4909450182321806
2024-04-19,1.46573,1.47296,1.46122,1.46525,EUR/CAD,-0.012965389234642632
